inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,$,P,V,A,LV,D,TIPO,L,ES,ARG,CMD,LD,OPRD,COND,CAB,CP,EXP_R,R,CABR,CPR
S2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Acc,,,,,,,,,,,,,,,,,,,
,S4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
,,,,R35,,,,,R35,R35,,,,,R35,,,,,,R35,,R35,,,,,,,,,,,,,,,,,,,,
,,,,R36,,,,,R36,R36,,,,,R36,,,,,,R36,,R36,,,,,,,,,,,,,,,,,,,,
,,,,R37,,,,,R37,R37,,,,,R37,,,,,,R37,,R37,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,S66,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R6,,,,R6,R6,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S46,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,
,,,,R19,,,,,R19,R19,,,,,R19,,,,,R19,R19,R19,R19,,,,,,,,,,,,,,,,,,,,
,,,,S51,,,,,,,,S52,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,
,,,,,,,,,,,,,,,,,,S69,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R34,,,,,R34,R34,,,,,R34,,,,,,R34,,R34,,,,,,,,,,,,,,,,,,,,
,,,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R26,,,,,R26,R26,,,,,R26,,,,,R26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,S72,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S51,,,,,,,,S52,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,
,,,,,,,,,,,,,,,,,R27,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,R12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,R24,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,R32,,,,,,,,,,,,,,,,,,,
